,ICICI Prudential Technology Fun,ICICI Prudential Bluechip Fund ,ICICI Prudential Balanced Advan,Canara Robeco Emerging Equities
annualHoldingsTurnover,0.2244,0.8683,0.9415,0.8596
beta3Year,0.7,0.88,,1.1
morningStarRiskRating,0,2,3,5
fundInceptionDate,1356998400,1356998400,1356998400,1356998400
annualReportExpenseRatio,0.0175,0.0119,0.010199999,0.0093
totalAssets,2378156800,2144604032,7531064832,79437000
yield,0,0,0,0
priceHint,2,2,2,2
morningStarOverallRating,0,4,5,5
ytdReturn,0.3413,0.16530001,0.09770001,0.2401
maxAge,1,1,1,1
previousClose,138.21,62.63,50.62,162.02
twoHundredDayAverage,119.628075,58.727924,48.552517,144.79355
averageDailyVolume10Day,0,0,0,0
regularMarketPreviousClose,138.21,62.63,50.62,162.02
fiftyDayAverage,134.63617,62.00941,50.301178,157.19029
averageVolume10days,0,0,0,0
fiftyTwoWeekHigh,113.63,59.78,48.59,144.83
fiftyTwoWeekLow,42.75,30.12,30.35,72.42
tradeable,FALSE,FALSE,FALSE,FALSE
regularMarketPrice,141.15,62.89,50.65,162.64
