Symbol,Company name,52-wk high,52-wk low,Last price,52-wk high chg.,52-wk high chg. %,52-wk low chg.,52-wk low chg. %,50-DMA,50-DMA chg.,50-DMA chg. %,200-DMA chg. %,200-DMA chg.,200-DMA
0P0000XVXX.BO,Aditya Birla Sun Life Corporate Bond Fund Growth Direct Plan,86.68,77.09,88.32,1.64,0.019,11.23,0.1457,88.13,0.19,0.0022,0.0147,1.28,87.04
0P0000XVWT.BO,Aditya Birla Sun Life Government Securities Fund Growth Direct Plan,66.7,59.94,67.19,0.49,0.0073,7.25,0.121,67.29,-0.1,-0.0015,0.0119,0.79,66.4
0P0001BNS5.BO,Aditya Birla Sun Life Government Securities Fund Growth Instant Gain Direct Plan,-,-,67.19,-,-,-,-,67.29,-0.1,-0.0015,0.0119,0.79,66.4
0P0000XVX0.BO,Aditya Birla Sun Life Income Fund Growth Direct Plan,104.06,91.12,105.29,1.23,0.0118,14.17,0.1555,105.23,0.06,0.0006,0.0142,1.47,103.81
0P0000XVXP.BO,Aditya Birla Sun Life Regular Savings Fund Direct Plan Growth,49.52,37.32,51.63,2.12,0.0427,14.31,0.3836,51.22,0.41,0.0081,0.0368,1.83,49.8
0P0000XVTL.BO,Axis Bluechip Fund Direct Plan Growth,44.92,25.54,46.78,1.86,0.0414,21.24,0.8316,46.16,0.62,0.0134,0.0676,2.96,43.82
0P0000XVTE.BO,Axis Dynamic Bond Fund Direct Plan Growth Option,24.98,22.05,25.26,0.28,0.0111,3.21,0.1456,25.31,-0.05,-0.0021,0.0133,0.33,24.93
0P00016KOT.BO,Axis Equity Saver Fund Direct Plan Growth,16.58,11.97,17.13,0.55,0.0332,5.16,0.4311,16.94,0.19,0.011,0.0413,0.68,16.45
0P0000XVUB.BO,Axis Liquid Fund Direct Plan Growth Option,2277.15,2189.98,2306.37,29.22,0.0128,116.39,0.0531,2301.5,4.87,0.0021,0.0088,20.2,2286.17
0P0000XVU7.BO,Axis Long Term Equity Fund Direct Plan Growth Option,69.4,37.65,74.22,4.82,0.0694,36.57,0.9715,72.67,1.55,0.0213,0.087,5.94,68.27
0P0000XVUH.BO,Axis Midcap Fund Direct Plan Growth,60.04,32.91,69.49,9.45,0.1574,36.58,1.1115,67.03,2.46,0.0367,0.1317,8.09,61.4
0P0000XVUL.BO,Axis Short Term Fund Direct Plan Growth Option,25.39,22.73,25.82,0.43,0.017,3.09,0.1359,25.77,0.05,0.002,0.0128,0.33,25.49
0P0000XVTZ.BO,Axis Strategic Bond Fund Direct Plan Growth Option,22.46,20.23,23.03,0.58,0.0257,2.8,0.1385,22.98,0.05,0.0022,0.0171,0.39,22.65
0P0000XVUV.BO,Axis Treasury Advantage Fund Direct Plan Growth Option,2469.36,2284.38,2515.59,46.23,0.0187,231.21,0.1012,2508.92,6.68,0.0027,0.012,29.92,2485.67
0P0000XVVB.BO,Baroda Conservative Hybrid Fund Plan B (Direct) Growth Option,31.44,26.53,32,0.56,0.0179,5.47,0.2063,31.81,0.19,0.0061,0.0198,0.62,31.38
0P0000XWB3.BO,Baroda Short Term Bond Fund - Plan B (Direct) - Growth Option,23.99,22.13,24.5,0.51,0.0214,2.37,0.1069,24.44,0.06,0.0026,0.0144,0.35,24.15
0P0000XVZ1.BO,BNP Paribas Conservative Hybrid Fund Direct Plan Growth Option,37.88,31.45,38.87,0.99,0.0261,7.42,0.236,38.62,0.25,0.0065,0.0264,1,37.87
0P00019ZBR.BO,BNP Paribas Substantial Equity Hybrid Direct Growth,-,-,18.85,-,-,-,-,18.51,0.34,0.0184,0.0896,1.55,17.3
0P0000XVZR.BO,BOI AXA Tax Advantage Fund-Direct Plan- Growth,88.37,45.13,103.89,15.52,0.1756,58.76,1.302,99.4,4.49,0.0452,0.151,13.63,90.26
0P0000XW0O.BO,Canara Robeco Bluechip Equity Fund Direct Plan Growth,39.94,20.65,42.06,2.12,0.0531,21.41,1.0368,41.44,0.62,0.015,0.0754,2.95,39.11
0P0000XW00.BO,Canara Robeco Emerging Equities-Direct Plan-Growth Option,144.83,72.42,162.64,17.81,0.123,90.22,1.2458,157.19,5.45,0.0347,0.1233,17.85,144.79
0P0000XW04.BO,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option,104.9,50.86,112.94,8.04,0.0766,62.08,1.2206,110.09,2.85,0.0259,0.1028,10.53,102.41
0P0000XW2T.BO,DSP Tax Saver Fund - Direct Plan - Growth,70.69,35.15,81.08,10.38,0.1469,45.92,1.3063,78.54,2.53,0.0322,0.13,9.33,71.75
0P0000XYE4.BO,Edelweiss Balanced Advantage Fund -Direct Plan-Growth,34.74,22.51,36.48,1.74,0.0501,13.97,0.6206,35.98,0.5,0.0139,0.0593,2.04,34.44
0P0000ZK6O.BO,Edelweiss Banking and PSU Debt Fund Direct Growth,19.55,17.18,19.8,0.25,0.0126,2.62,0.1526,19.82,-0.02,-0.001,0.0145,0.28,19.52
0P000123Q6.BO,Edelweiss Government Securities Fund Direct Growth,19.72,17.55,20.1,0.39,0.0196,2.56,0.1457,20.05,0.06,0.0028,0.0175,0.35,19.76
0P0000XVB1.BO,Essel Liquid Fund Direct Plan Growth Option,2241.45,2167.67,2269.01,27.56,0.0123,101.34,0.0468,2264.79,4.22,0.0019,0.0084,18.85,2250.16
0P0000XW55.BO,Franklin Build India Fund - Direct - Growth,57.09,27.7,64.87,7.77,0.1361,37.17,1.3418,63,1.87,0.0296,0.1445,8.19,56.68
0P0001EI12.BO,HDFC Balanced Adv Direct Plan Growth Option,-,-,275.49,-,-,-,-,272.3,3.19,0.0117,0.0835,21.24,254.25
0P0000XW8D.BO,HDFC Corporate Bond Fund -Direct Plan - Growth Option,25.26,22.42,25.63,0.37,0.0148,3.21,0.1432,25.59,0.04,0.0015,0.0136,0.34,25.29
0P00012K1G.BO,HDFC Credit Risk Debt Fund Direct Plan Growth Option,19.03,17.01,19.76,0.73,0.0386,2.75,0.1618,19.69,0.08,0.0039,0.0243,0.47,19.29
0P0000XW8Q.BO,HDFC Equity Savings Fund -Direct Plan - Growth Option,46.43,33.7,49.69,3.26,0.0702,15.99,0.4743,49.15,0.54,0.0109,0.0621,2.91,46.78
0P0000XW8G.BO,HDFC Hybrid Debt Direct Plan Growth Option,56.21,44.01,59.46,3.25,0.0579,15.46,0.3512,58.96,0.5,0.0085,0.0467,2.65,56.81
0P0000XW8W.BO,HDFC Short Term Debt Fund -Direct Plan - Growth Option,24.96,22.27,25.42,0.46,0.0182,3.15,0.1414,25.36,0.06,0.0024,0.0145,0.36,25.06
0P0000XUYA.BO,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,29.14,26.15,29.82,0.68,0.0233,3.67,0.1405,29.78,0.04,0.0014,0.0147,0.43,29.39
0P0000XWA3.BO,ICICI Prudential Banking and Financial Services Fund Direct Plan Growth,84.64,39.94,90.72,6.08,0.0718,50.78,1.2714,88.17,2.55,0.0289,0.1182,9.59,81.13
0P0000YF56.BO,ICICI Prudential Banking and PSU Debt Fund Direct Plan Growth,25.57,23.07,26.03,0.46,0.0179,2.96,0.1282,26.01,0.02,0.0007,0.0118,0.3,25.73
0P0000XWAT.BO,ICICI Prudential Bluechip Fund Direct Plan Growth,59.78,30.12,62.89,3.11,0.052,32.77,1.088,62.01,0.88,0.0142,0.0709,4.16,58.73
0P000148GW.BO,ICICI Prudential Constant Maturity Gilt Direct Growth,19.54,17.4,19.57,0.03,0.0014,2.16,0.1244,19.57,0,-0.0002,0.0105,0.2,19.36
0P0000XUYV.BO,ICICI Prudential Credit Risk Fund Direct Plan Growth,25.11,22.68,26.01,0.89,0.0355,3.33,0.1468,25.89,0.11,0.0044,0.0236,0.6,25.41
0P0000XWA0.BO,ICICI Prudential Debt Management Fund(FOF) Direct Plan Growth,35.22,31.87,35.94,0.73,0.0206,4.07,0.1278,35.9,0.04,0.0012,0.0126,0.45,35.49
0P0000XUYS.BO,ICICI Prudential Nifty Next 50 Index Fund Direct Plan Growth,32.29,16.95,35.45,3.16,0.098,18.5,1.0914,35.3,0.15,0.0042,0.0896,2.91,32.54
0P0000XWCA.BO,ICICI Prudential Ultra Short Term Fund Direct Plan Growth,22.76,21.2,23.2,0.44,0.0193,2,0.0942,23.13,0.06,0.0027,0.0129,0.3,22.9
0P0000XV19.BO,IDFC Bond Fund - Income Plan - Direct Plan - Growth,57.45,51.47,57.23,-0.22,-0.0038,5.76,0.112,57.14,0.09,0.0015,0.0096,0.55,56.69
0P0000XV0G.BO,IDFC Dynamic Bond Fund - Direct Plan - Growth,29.41,26.12,29.41,0,0.0001,3.29,0.126,29.36,0.06,0.0019,0.0115,0.33,29.08
0P0000XV0J.BO,IDFC Government Securities Fund - Investment Plan - Direct Plan - Growth,29.52,26.11,29.52,0,0,3.41,0.1306,29.46,0.06,0.002,0.0116,0.34,29.18
0P0000XV1I.BO,IDFC Tax Advantage (ELSS) Fund - Direct Plan - Growth,82.69,37.27,95.99,13.3,0.1608,58.72,1.5755,93.67,2.32,0.0248,0.1363,11.52,84.47
0P00014KAU.BO,IIFL Focused Equity Fund Direct Growth,26.9,13.31,29.12,2.22,0.0827,15.82,1.1884,28.43,0.7,0.0245,0.0972,2.58,26.54
0P0000XVGR.BO,Invesco India Contra Fund - Direct Plan - Growth,73.2,36.14,79.46,6.26,0.0855,43.32,1.1987,77.76,1.7,0.0218,0.097,7.03,72.43
0P0000XVH6.BO,Invesco India Infrastructure Fund - Direct Pan - Growth Option,26.32,13.78,31.66,5.34,0.2029,17.88,1.2975,30.33,1.33,0.0438,0.1737,4.69,26.97
0P0000XV5M.BO,Kotak Bond Short Term Plan - Growth - Direct,43.56,39.22,44.2,0.64,0.0147,4.98,0.1269,44.13,0.07,0.0015,0.0126,0.55,43.65
0P0000XV6D.BO,Kotak Credit Risk FundGrowthDirect,25.03,22.81,25.78,0.75,0.03,2.97,0.1303,25.73,0.05,0.0021,0.0188,0.48,25.31
0P0000XZRU.BO,Kotak Debt Hybrid Direct Growth,42.29,32.17,44.27,1.98,0.0468,12.11,0.3763,44.08,0.19,0.0043,0.0373,1.59,42.68
0P0000XV5R.BO,Kotak Emerging Equity Scheme Direct Growth,62.1,30.48,73.16,11.05,0.178,42.68,1.4003,271.72,-198.56,-0.7308,-0.3611,-41.36,114.51
